,total_value
2015-04-29,1438665.1189999997
2015-04-30,1431671.1189999995
2015-05-04,1439433.1189999997
2015-05-05,1403083.1189999997
2015-05-06,1389195.119
2015-05-07,1365783.1189999997
2015-05-08,1384525.1189999997
2015-05-11,1410057.1189999997
2015-05-12,1423585.1189999997
2015-05-13,1418493.1189999997
2015-05-14,1419003.119
2015-05-15,1405079.1189999995
2015-05-18,1400039.1189999997
2015-05-19,1426851.1189999997
2015-05-20,1432599.1189999997
2015-05-21,1449225.1189999997
2015-05-22,1474861.119
2015-05-25,1506101.1189999997
2015-05-26,1525521.1189999995
2015-05-27,1531683.1189999997
2015-05-28,1467395.119
2015-05-29,1465689.1189999997
2015-06-01,1509089.1189999997
2015-06-02,1525447.1189999997
2015-06-03,1525337.1189999997
2015-06-04,1532761.119
2015-06-05,1547961.119
2015-06-08,1569717.1189999997
2015-06-09,1566047.1189999997
2015-06-10,1564549.1189999997
2015-06-11,1567659.1189999997
2015-06-12,1576611.119
2015-06-15,1555939.1189999997
2015-06-16,1520827.1189999997
2015-06-17,1536921.1189999995
2015-06-18,1500413.1189999995
2015-06-19,1439013.1189999995
2015-06-23,1458639.1189999997
2015-06-24,1481371.1189999995
2015-06-25,1448897.1189999997
2015-06-26,1381915.1189999997
2015-06-29,1400437.165
2015-06-30,1400437.165
2015-07-01,1400437.165
2015-07-02,1400437.165
2015-07-03,1400437.165
2015-07-06,1400437.165
2015-07-07,1400437.165
2015-07-08,1400437.165
2015-07-09,1400437.165
2015-07-10,1400437.165
2015-07-13,1400437.165
2015-07-14,1400437.165
2015-07-15,1400437.165
2015-07-16,1400437.165
2015-07-17,1400437.165
2015-07-20,1400437.165
2015-07-21,1400437.165
2015-07-22,1400437.165
2015-07-23,1400437.165
2015-07-24,1400437.165
2015-07-27,1400437.165
2015-07-28,1400437.165
2015-07-29,1400437.165
2015-07-30,1400437.165
2015-07-31,1400437.165
2015-08-03,1400437.165
2015-08-04,1400437.165
2015-08-05,1400437.165
2015-08-06,1400437.165
2015-08-07,1400437.165
2015-08-10,1400437.165
2015-08-11,1400437.165
2015-08-12,1400437.165
2015-08-13,1400437.165
2015-08-14,1400437.165
2015-08-17,1400437.165
2015-08-18,1400437.165
2015-08-19,1400437.165
2015-08-20,1400437.165
2015-08-21,1400437.165
2015-08-24,1400437.165
2015-08-25,1400437.165
2015-08-26,1400437.165
2015-08-27,1400437.165
2015-08-28,1400437.165
2015-08-31,1400437.165
2015-09-01,1400437.165
2015-09-02,1400437.165
2015-09-07,1400437.165
2015-09-08,1400437.165
2015-09-09,1400437.165
2015-09-10,1400437.165
2015-09-11,1400437.165
2015-09-14,1400437.165
2015-09-15,1400437.165
2015-09-16,1400437.165
2015-09-17,1400437.165
2015-09-18,1400437.165
2015-09-21,1400437.165
2015-09-22,1400437.165
2015-09-23,1400437.165
2015-09-24,1400437.165
2015-09-25,1400437.165
2015-09-28,1400437.165
2015-09-29,1400437.165
2015-09-30,1400437.165
2015-10-08,1400437.165
2015-10-09,1400437.165
2015-10-12,1400437.165
2015-10-13,1403217.949
2015-10-14,1400138.949
2015-10-15,1407701.949
2015-10-16,1415999.119
2015-10-19,1415069.119
2015-10-20,1422795.119
2015-10-21,1379603.4070000001
2015-10-22,1398827.4070000001
2015-10-23,1416303.4070000001
2015-10-26,1423163.4070000001
2015-10-27,1425067.4070000001
2015-10-28,1401411.4070000001
2015-10-29,1406255.4070000001
2015-10-30,1404355.4070000001
2015-11-02,1381363.4070000001
2015-11-03,1378011.4070000001
2015-11-04,1435187.4070000001
